,Player,Pos,Age,Tm,G,FG%,2P FG%,3P FG%
0,Steven Adams,C,26,OKC,63,0.5920000000000001,0.594,0.33299999999999996
1,Bam Adebayo,PF,22,MIA,72,0.557,0.564,0.14300000000000002
2,LaMarcus Aldridge,C,34,SAS,53,0.493,0.519,0.389
3,Nickeil Alexander-Walker,SG,21,NOP,47,0.368,0.391,0.34600000000000003
4,Grayson Allen,SG,24,MEM,38,0.466,0.545,0.40399999999999997
5,Jarrett Allen,C,21,BRK,70,0.649,0.6579999999999999,0.0
6,Kadeem Allen,SG,27,NYK,10,0.43200000000000005,0.5,0.313
7,Al-Farouq Aminu,PF,29,ORL,18,0.29100000000000004,0.32,0.25
8,Justin Anderson,SF,26,BRK,10,0.263,0.444,0.207
9,Kyle Anderson,PF,26,MEM,67,0.474,0.541,0.282
10,Giannis Antetokounmpo,PF,25,MIL,63,0.5529999999999999,0.631,0.304
11,Thanasis Antetokounmpo,SF,27,MIL,20,0.5,0.632,0.0
12,Carmelo Anthony,PF,35,POR,58,0.43,0.44799999999999995,0.385
13,OG Anunoby,SF,22,TOR,69,0.505,0.583,0.39
14,Ryan Arcidiacono,PG,25,CHI,58,0.409,0.439,0.391
15,Trevor Ariza,SF,34,TOT,53,0.43799999999999994,0.556,0.37200000000000005
16,Trevor Ariza,SF,34,SAC,32,0.38799999999999996,0.488,0.35200000000000004
17,Trevor Ariza,SF,34,POR,21,0.491,0.595,0.4
18,D.J. Augustin,PG,32,ORL,57,0.39899999999999997,0.43799999999999994,0.348
19,Deandre Ayton,C,21,PHO,38,0.546,0.5529999999999999,0.231
20,Dwayne Bacon,SG,24,CHO,39,0.348,0.373,0.284
21,Marvin Bagley III,PF,20,SAC,13,0.467,0.51,0.182
22,Lonzo Ball,PG,22,NOP,63,0.40299999999999997,0.442,0.375
23,Mo Bamba,C,21,ORL,62,0.462,0.531,0.34600000000000003
24,J.J. Barea,PG,35,DAL,29,0.41100000000000003,0.434,0.376
25,Harrison Barnes,PF,27,SAC,72,0.46,0.501,0.381
26,RJ Barrett,SG,19,NYK,56,0.402,0.43200000000000005,0.32
27,Will Barton,SF,29,DEN,58,0.45,0.498,0.375
28,Keita Bates-Diop,SF,24,TOT,44,0.42700000000000005,0.504,0.33
29,Keita Bates-Diop,SF,24,MIN,37,0.42200000000000004,0.5,0.33
30,Nicolas Batum,SF,31,CHO,22,0.34600000000000003,0.43799999999999994,0.28600000000000003
31,Aron Baynes,C,33,PHO,42,0.48,0.5820000000000001,0.35100000000000003
32,Kent Bazemore,SF-SG,30,TOT,68,0.375,0.4,0.344
33,Kent Bazemore,SF,30,POR,43,0.34700000000000003,0.368,0.327
34,Kent Bazemore,SG,30,SAC,25,0.418,0.43700000000000006,0.384
35,Darius Bazley,PF,19,OKC,61,0.39399999999999996,0.43200000000000005,0.348
36,Bradley Beal,SG,26,WAS,57,0.455,0.515,0.353
37,Malik Beasley,SG,23,TOT,55,0.425,0.465,0.38799999999999996
38,Malik Beasley,SG,23,DEN,41,0.389,0.42100000000000004,0.36
39,Malik Beasley,SG,23,MIN,14,0.47200000000000003,0.517,0.426
40,Marco Belinelli,SG,33,SAS,57,0.392,0.41200000000000003,0.376
41,Jordan Bell,C-PF,25,TOT,29,0.522,0.564,0.33299999999999996
42,Jordan Bell,C,25,MIN,27,0.5329999999999999,0.588,0.222
43,DeAndre' Bembry,SG,25,ATL,43,0.456,0.546,0.231
44,Dragan Bender,SF,22,TOT,16,0.446,0.531,0.349
45,Dāvis Bertāns,PF,27,WAS,54,0.434,0.47100000000000003,0.424
46,Patrick Beverley,PG,31,LAC,51,0.431,0.496,0.38799999999999996
47,Khem Birch,C,27,ORL,48,0.51,0.514,0.0
48,Goga Bitadze,C,20,IND,54,0.467,0.574,0.19
49,Nemanja Bjelica,PF,31,SAC,72,0.48100000000000004,0.541,0.419
50,Eric Bledsoe,PG,30,MIL,61,0.475,0.5329999999999999,0.344
51,Bogdan Bogdanović,SG,27,SAC,61,0.44,0.532,0.37200000000000005
52,Bojan Bogdanović,SF,30,UTA,63,0.447,0.479,0.414
53,Jordan Bone,PG,22,DET,10,0.25,0.3,0.2
54,Isaac Bonga,SF,20,WAS,66,0.504,0.5710000000000001,0.35200000000000004
55,Devin Booker,SG,23,PHO,70,0.489,0.5489999999999999,0.354
56,Chris Boucher,PF,27,TOR,62,0.47200000000000003,0.569,0.322
57,Ky Bowman,PG,22,GSW,45,0.41700000000000004,0.47200000000000003,0.308
58,Avery Bradley,SG,29,LAL,49,0.444,0.51,0.364
59,Tony Bradley,C,22,UTA,58,0.667,0.6609999999999999,1.0
60,Mikal Bridges,SF,23,PHO,73,0.51,0.61,0.361
61,Miles Bridges,SF,21,CHO,65,0.424,0.486,0.33
62,Oshae Brissett,SF,21,TOR,19,0.361,0.47600000000000003,0.2
63,Ryan Broekhoff,SG,29,DAL,17,0.373,0.25,0.392
64,Malcolm Brogdon,PG,27,IND,54,0.43799999999999994,0.488,0.326
65,Dillon Brooks,SG,24,MEM,73,0.40700000000000003,0.43799999999999994,0.358
66,Bruce Brown,SG,23,DET,58,0.44299999999999995,0.47,0.344
67,Charlie Brown,SG,22,ATL,10,0.316,0.3,0.33299999999999996
68,Jaylen Brown,SF,23,BOS,57,0.48100000000000004,0.5429999999999999,0.382
69,Sterling Brown,SF,24,MIL,52,0.371,0.425,0.324
70,Troy Brown Jr.,SG,20,WAS,69,0.439,0.479,0.341
71,Jalen Brunson,PG,23,DAL,57,0.466,0.515,0.358
72,Thomas Bryant,C,22,WAS,46,0.581,0.63,0.40700000000000003
