,Name,FG%,2P FG%,3P FG%
0,Jaylen Adams,.333,.600,.000
1,Steven Adams,.596,.608,.000
2,Bam Adebayo,.564,.566,.000
3,Jarrett Allen,.583,.583,
4,Justin Anderson,.417,.000,.455
5,Giannis Antetokounmpo,.559,.636,.325
6,Carmelo Anthony,.412,.408,.421
7,OG Anunoby,.455,.489,.415
8,D.J. Augustin,.391,.345,.471
9,J.J. Barea,.000,.000,
10,Keita Bates-Diop,.200,.200,
11,Darius Bazley,.419,.222,.500
12,Patrick Beverley,.513,.706,.364
13,Khem Birch,.500,.500,
14,Eric Bledsoe,.388,.455,.250
15,Bol Bol,.556,.500,.667
16,Chris Boucher,.273,.167,.400
17,Tony Bradley,.222,.222,
18,Jarrell Brantley,.000,.000,.000
19,Malcolm Brogdon,.400,.415,.375
20,Jaylen Brown,.476,.560,.358
21,Sterling Brown,.000,,.000
22,Trey Burke,.508,.524,.471
23,Alec Burks,.327,.394,.188
24,Deonte Burton,,,
25,Jimmy Butler,.488,.512,.349
26,Bruno Caboclo,.500,1.000,.000
27,Kentavious Caldwell-Pope,.418,.486,.378
28,DeMarre Carroll,.500,.500,
29,Alex Caruso,.425,.596,.279
30,Tyson Chandler,,,
31,Chris Chiozza,.333,.375,.313
32,Gary Clark,.333,.000,.344
33,Jordan Clarkson,.464,.583,.347
34,Chris Clemons,.400,,.400
35,Antonius Cleveland,.400,.400,
36,Amir Coffey,.000,.000,.000
37,Mike Conley,.484,.433,.529
38,Pat Connaughton,.429,.583,.348
39,Quinn Cook,.500,.500,.500
40,Tyler Cook,,,
41,Robert Covington,.495,.481,.500
42,Torrey Craig,.423,.611,.262
43,Jae Crowder,.403,.650,.342
44,Seth Curry,.585,.656,.476
45,Troy Daniels,.500,.500,.500
46,Anthony Davis,.571,.609,.383
47,Terence Davis,.483,.600,.421
48,Hamidou Diallo,.364,.500,.200
49,Donte DiVincenzo,.451,.533,.333
50,Luka Dončić,.500,.571,.364
51,Luguentz Dort,.355,.538,.260
52,PJ Dozier,.424,.480,.250
53,Goran Dragić,.444,.509,.346
54,Jared Dudley,.000,.000,.000
55,Carsen Edwards,,,
56,Joel Embiid,.459,.517,.250
57,James Ennis,.343,.421,.250
58,Tacko Fall,1.000,1.000,
59,Terrance Ferguson,.182,.000,.200
60,Dorian Finney-Smith,.442,.545,.367
61,Evan Fournier,.351,.364,.343
62,Michael Frazier,.250,.000,.500
63,Markelle Fultz,.400,.409,.375
64,Wenyen Gabriel,.600,.700,.400
65,Danilo Gallinari,.405,.476,.324
66,Marc Gasol,.391,.541,.185
67,Paul George,.398,.464,.333
68,Shai Gilgeous-Alexander,.433,.455,.400
69,Rudy Gobert,.649,.649,
70,Eric Gordon,.409,.500,.322
71,Jerami Grant,.406,.500,.326
72,Danny Green,.347,.364,.339
73,JaMychal Green,.564,.656,.435
74,Javonte Green,.500,,.500
75,Jeff Green,.495,.571,.426
76,Donta Hall,.600,.600,
77,Tim Hardaway Jr.,.421,.512,.352
78,James Harden,.478,.631,.333
79,Montrezl Harrell,.573,.597,.200
80,Gary Harris,.378,.395,.365
81,Joe Harris,.522,.455,.583
